Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,,,,,,,,
2011. 3. 17 오후 3:30:00,1921.59,1961.09,1919.13,1959.03,305714,,,,,,,,,,,,,,,,,,,,
2011. 3. 18 오후 3:30:00,1963.17,1988.04,1960.49,1981.13,291299,,,,,,,,,,,,,,,,,,,,
2011. 3. 21 오후 3:30:00,1985.47,2005.32,1985.15,2003.42,292259,,,,,,,,,,,,,,,,,,,,
2011. 3. 22 오후 3:30:00,2012.48,2016.27,2004.36,2013.66,304108,,,,,,,,,,,,,,,,,,,,
2011. 3. 23 오후 3:30:00,2019.18,2022.14,2005.59,2012.18,312568,,,,,,,,,,,,,,,,,,,,
2011. 3. 24 오후 3:30:00,2022.26,2036.93,2022.08,2036.78,295491,,,,,,,,,,,,,,,,,,,,
2011. 3. 25 오후 3:30:00,2058.35,2060.29,2041.72,2054.04,311218,,,,,,,,,,,,,,,,,,,,
2011. 3. 28 오후 3:30:00,2054.28,2059.92,2043.99,2056.39,285363,,,,,,,,,,,,,,,,,,,,
2011. 3. 29 오후 3:30:00,2052.87,2072.13,2050.09,2072.13,250466,,,,,,,,,,,,,,,,,,,,
2011. 3. 30 오후 3:30:00,2075.91,2100.2,2074.26,2091.38,316864,,,,,,,,,,,,,,,,,,,,
2011. 3. 31 오후 3:30:00,2098.09,2106.74,2089.12,2106.7,317892,,,,,,,,,,,,,,,,,,,,
2011. 4. 1 오후 3:30:00,2107.67,2121.02,2101.83,2121.01,337942,,,,,,,,,,,,,,,,,,,,
2011. 4. 4 오후 3:30:00,2124.37,2125.53,2103.82,2115.87,301800,,,,,,,,,,,,,,,,,,,,
2011. 4. 5 오후 3:30:00,2118.08,2130.43,2107.78,2130.43,327664,,,,,,,,,,,,,,,,,,,,
2011. 4. 6 오후 3:30:00,2129.13,2135.89,2119.66,2126.71,423048,,,,,,,,,,,,,,,,,,,,
2011. 4. 7 오후 3:30:00,2133.31,2135.73,2111.54,2122.14,382813,,,,,,,,,,,,,,,,,,,,
2011. 4. 8 오후 3:30:00,2119.01,2135.98,2118.72,2127.97,392841,,,,,,,,,,,,,,,,,,,,
